Date,Map,Visitor/Neutral,PTS,Home/Neutral,PTS
30/10/15,mirage,Enervate,8,ESC,16
30/10/15,overpass,Publiclir.se,16,HS.GG,12
30/10/15,cobblestone,HS.GG,16,Publiclir.se,7
30/10/15,mirage,Publiclir.se,16,HS.GG,6
30/10/15,cache,G2,16,mousesports,5
30/10/15,inferno,mousesports,16,G2,12
30/10/15,mirage,G2,19,mousesports,16
30/10/15,mirage,SkitLite,12,RCTIC,16
30/10/15,train,RCTIC,16,SkitLite,7
30/10/15,overpass,Cloud9,12,fnatic,16
30/10/15,dust2,Cloud9,6,fnatic,16
30/10/15,cobblestone,compLexity,13,Conquest,16
30/10/15,inferno,compLexity,13,Conquest,16
29/10/15,mirage,"Natus Vincere",9,EnVyUs,16
29/10/15,train,Virtus.pro,16,Titan,7
29/10/15,cache,Arcade,14,ESC,16
29/10/15,mirage,Arcade,16,ESC,9
29/10/15,mirage,SK,16,KILLERFISH,4
29/10/15,train,SK,9,KILLERFISH,16
29/10/15,dust2,TSM,16,G2,6
29/10/15,cobblestone,"Space Soldiers",13,Arcade,16
29/10/15,inferno,Luminosity,16,fnatic,13
29/10/15,dust2,ESC,16,"Space Soldiers",13
29/10/15,cache,"Space Soldiers",10,ESC,16
29/10/15,cobblestone,dignitas,14,CLG,16
29/10/15,mirage,Liquid,11,NiP,16
29/10/15,mirage,Enervate,16,"Project Skyline",8
29/10/15,dust2,Enervate,16,"Project Skyline",4
29/10/15,overpass,FlipSid3,8,mousesports,16
29/10/15,cobblestone,Vexed,13,Cloud9,16
29/10/15,inferno,FolloweSports.com,16,Coastless,3
29/10/15,mirage,Coastless,13,FolloweSports.com,16
28/10/15,mirage,Arcade,16,stfuNerd,11
28/10/15,cobblestone,"Natus Vincere",16,CLG,12
28/10/15,cache,DenDD,16,Orgless,4
28/10/15,cobblestone,Orgless,16,DenDD,7
28/10/15,mirage,Orgless,10,DenDD,16
28/10/15,cache,ESC,16,Arcade,10
28/10/15,mirage,Arcade,4,ESC,16
28/10/15,overpass,Arcade,16,ESC,14
28/10/15,cobblestone,EnVyUs,16,dignitas,6
28/10/15,cobblestone,Titan,16,NiP,13
28/10/15,train,stfuNerd,5,"Space Soldiers",16
28/10/15,cache,"Space Soldiers",16,stfuNerd,3
28/10/15,cobblestone,Virtus.pro,19,Liquid,15
28/10/15,inferno,mousesports,8,G2,16
28/10/15,cache,FlipSid3,6,TSM,16
28/10/15,dust2,Luminosity,16,Cloud9,11
28/10/15,cobblestone,Vexed,10,fnatic,16
28/10/15,train,Coastless,9,Conquest,16
28/10/15,overpass,Coastless,7,Conquest,16
28/10/15,overpass,compLexity,16,SKDC,4
28/10/15,cobblestone,SKDC,9,compLexity,16
28/10/15,train,compLexity,8,SKDC,16
27/10/15,cache,Epsilon,16,"Vega Squadron",13
27/10/15,cache,ggrabb,19,"uber noobz",17
27/10/15,mirage,WildSource,12,"Vega Squadron",16
27/10/15,overpass,HellRaisers,12,CSGL,16
27/10/15,cache,HellRaisers,16,CSGL,9
27/10/15,mirage,Enso,16,DSS,14
27/10/15,dust2,Enso,16,DSS,11
27/10/15,train,WildSource,7,Epsilon,16
27/10/15,cache,Epsilon,16,WildSource,11
27/10/15,mirage,Epsilon,13,WildSource,16
27/10/15,mirage,PiTER,14,"Vega Squadron",16
27/10/15,overpass,FolloweSports.com,5,Conquest,16
27/10/15,train,Conquest,16,FolloweSports.com,13
26/10/15,dust2,"Vega Squadron",4,WildSource,16
26/10/15,mirage,"Vega Squadron",10,WildSource,16
26/10/15,overpass,Epsilon,16,PiTER,14
26/10/15,cache,PiTER,9,Epsilon,16
26/10/15,mirage,PiTER,16,Epsilon,11
25/10/15,overpass,EnVyUs,16,mousesports,14
25/10/15,inferno,fnatic,16,PENTA,14
25/10/15,cache,Arcade,16,ACG,10
25/10/15,cache,BX3,14,Aftermatch,16
25/10/15,inferno,TSM,16,"LDLC White",14
25/10/15,overpass,"LDLC White",5,TSM,16
25/10/15,mirage,mousesports,19,"Natus Vincere",17
25/10/15,mirage,Enso,2,ACG,16
25/10/15,dust2,Enso,14,ACG,16
25/10/15,train,HellRaisers,8,"Natus Vincere",16
25/10/15,overpass,GreyFace,10,Titan,16
25/10/15,train,Titan,10,GreyFace,16
25/10/15,dust2,Titan,16,GreyFace,13
25/10/15,dust2,PENTA,16,HellRaisers,8
25/10/15,mirage,AlienTech,16,"Keyd Stars",12
25/10/15,train,AlienTech,26,"Keyd Stars",28
25/10/15,inferno,AlienTech,19,"Keyd Stars",16
25/10/15,cache,Titan,5,HellRaisers,16
25/10/15,cache,"Epiphany Bolt",3,Enervate,16
25/10/15,mirage,Enervate,22,"Epiphany Bolt",20
25/10/15,inferno,TES,16,"Easy Fix",11
25/10/15,cache,TES,14,"Easy Fix",16
25/10/15,dust2,"Easy Fix",14,TES,16
25/10/15,cobblestone,Arcade,16,ACG,11
25/10/15,cache,ACG,16,Arcade,10
25/10/15,mirage,ACG,17,Arcade,19
25/10/15,mirage,Enso,7,PiTER,16
25/10/15,overpass,Enso,10,PiTER,16
25/10/15,cobblestone,ExAequo,16,NextGaming,10
25/10/15,dust2,ExAequo,16,NextGaming,11
25/10/15,mirage,ACG,4,Enervate,16
25/10/15,cache,Enervate,16,ACG,4
25/10/15,mirage,"Keyd Stars",16,BulletsRage.Pro,14
25/10/15,overpass,BulletsRage.Pro,14,"Keyd Stars",16
25/10/15,inferno,BulletsRage.Pro,22,"Keyd Stars",19
25/10/15,overpass,Infused,14,UESmash,16
25/10/15,mirage,Infused,12,UESmash,16
25/10/15,cache,Infused,7,UESmash,16
25/10/15,cobblestone,Infused,16,UESmash,7
25/10/15,cobblestone,Gosu,9,SoF,16
25/10/15,train,CLG,11,Liquid,16
25/10/15,inferno,Gosu,16,"Leader-1 Red",13
25/10/15,dust2,Coastless,10,Liquid,16
25/10/15,mirage,Cloud9,11,CLG,16
25/10/15,dust2,Gosu,8,SoF,16
25/10/15,cache,Gosu,8,SoF,16
25/10/15,inferno,"Leader-1 Red",16,Quintic,8
25/10/15,overpass,Enemy,16,Cloud9,10
25/10/15,cache,Coastless,17,Luminosity,19
25/10/15,dust2,Enemy,11,Luminosity,16
24/10/15,mirage,GUS-Gaming,13,Enso,16
24/10/15,inferno,TSM,16,EnVyUs,9
24/10/15,overpass,TSM,16,Virtus.pro,3
24/10/15,mirage,AlienTech,25,"Keyd Stars",22
24/10/15,inferno,"Keyd Stars",15,AlienTech,19
24/10/15,train,AlienTech,12,"Keyd Stars",16
24/10/15,cobblestone,Virtus.pro,16,SK,13
24/10/15,dust2,"European Misfits",16,Reaction,14
24/10/15,cache,"European Misfits",16,Reaction,5
